feature,importance
total_lmp_day_ahead_lag_1,0.3497309
total_lmp_day_ahead_lag_24,0.09951879
hour,0.08845655
da_lmp_rolling_std_24,0.052125987
month,0.04807316
sin_hour,0.047672097
cos_hour,0.038261745
load_mw,0.03749367
da_lmp_rolling_mean_24,0.032758422
temperature_2m,0.03241107
dayofweek,0.026643591
load_mw_rolling_std_24,0.025216043
load_mw_lag_24,0.025015585
load_mw_rolling_mean_24,0.02407779
load_mw_lag_1,0.021570578
load_mw_lag_168,0.017722901
total_lmp_day_ahead_lag_168,0.017255668
congestion_share_da_lag_1,0.015995512
is_weekend,0.0
