hour,avg_load_mw
0,13908.43945473251
1,13614.831154320987
2,13408.243146694214
3,13367.066991769549
4,13522.869156378601
5,13971.265860082303
6,14676.654927983538
7,15200.31572016461
8,15450.399269547324
9,15545.339049382716
10,15632.530195473251
11,15685.563255144032
12,15766.517592592592
13,15830.028374485597
14,15819.001841563784
15,15836.993228395062
16,15990.85846090535
17,16222.29979218107
18,16340.614209876543
19,16278.871709876543
20,16120.330545267489
21,15737.167500000001
22,15084.099191358026
23,14413.360621399177
