feature,importance
total_lmp_day_ahead_lag_1,0.6064765
total_lmp_day_ahead_lag_24,0.12078123
temperature_2m,0.03505017
cos_hour,0.03330016
load_mw,0.03104378
hour,0.030689495
sin_hour,0.027173482
da_lmp_rolling_mean_24,0.020253967
month,0.018491708
da_lmp_rolling_std_24,0.01810309
dayofweek,0.011002506
total_lmp_day_ahead_lag_168,0.009253698
load_mw_lag_168,0.007177135
load_mw_rolling_std_24,0.0070636626
load_mw_lag_1,0.006940041
congestion_share_da_lag_1,0.00646926
load_mw_lag_24,0.005502245
load_mw_rolling_mean_24,0.005227943
is_weekend,0.0
